"nr","cod LMI","val","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","adresa","latitudine","longitudine","cota","cod postal","stare generală","program","tipul monumentului","datare","tipul patrimoniului","observatii"
1333,"CJ-II-m-B-07806","B",127,"CLUJ",56354,"comună","CĂIANU",56407,"VAIDA-CĂMĂRAȘ","Biserica reformată",134,46.827372,23.943896,353,407124,"Stare medie","Clădire de cult","Biserică","sec. XVII","Patrimoniu religios",
1100,"CJ-II-m-B-07595","B",127,"CLUJ",56461,"comună","CĂLĂȚELE",56498,"DEALU NEGRU","Biserica de lemn ""Sf. Voievozi""",4,46.71657,23.038638,1005,407137,"-","Clădire de cult","Biserică",1764,"Patrimoniu religios","Posibil demolată sau mutată."
1334,"CJ-II-m-B-07807","B",127,"CLUJ",56461,"comună","CĂLĂȚELE",56513,"VĂLENI","Biserica reformată",189,46.782972,23.033495,715,407139,"-","Clădire de cult","Biserică","sec. XII-XV","Patrimoniu religios",
1042,"CJ-II-m-B-07544","B",127,"CLUJ",56522,"comună","CĂMĂRAȘU",56531,"CĂMĂRAȘU","Conacul Kémény",121,46.784982,24.125715,347,407140,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XVIII-XIX","Patrimoniu reprezentativ",
1043,"CJ-II-m-B-07545","B",127,"CLUJ",56522,"comună","CĂMĂRAȘU",56531,"CĂMĂRAȘU","Biserica reformată",131,46.786196,24.128803,324,407140,"-","Clădire de cult","Biserică","sec. XIII -XV-XVIII, 1753","Patrimoniu religios",
1044,"CJ-II-m-B-07547","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56577,"CĂPUȘU MARE","Biserica reformată",149,46.791707,23.288896,465,407145,"Stare medie","Clădire de cult","Biserică",1753,"Patrimoniu religios",
999,"CJ-II-m-B-07508","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56586,"AGÂRBICIU","Biserica de lemn ""Sf. Treime""",179,46.77145,23.279757,556,407146,"-","Clădire de cult","Biserică","sec. XVII","Patrimoniu religios",
1017,"CJ-II-m-B-07527","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56595,"BĂLCEȘTI","Biserica de lemn ""Adormirea Maicii Domnului""",15,,,,407148,"-","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1045,"CJ-II-m-B-07548","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56602,"CĂPUȘU MIC","Casă",107,46.797962,23.253485,489,407148,"Stare bună","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX - XX","Patrimoniu domestic rural",
1046,"CJ-II-m-B-07549","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56602,"CĂPUȘU MIC","Biserica reformată",280,46.79556,23.257535,499,407148,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1047,"CJ-II-m-B-07550","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56602,"CĂPUȘU MIC","Moara Biro",310,46.797026,23.253882,490,407148,"Colaps","Clădire cu alte funcțiuni","Moară",1874,"Patrimoniul preindustrial prelucrător",
1096,"CJ-II-m-B-07591","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56611,"DÂNGĂU MARE","Biserica de lemn ""Sf. Gheorghe""",113,46.755411,23.199216,966,407149,"-","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1097,"CJ-II-m-B-07592","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56620,"DÂNGĂU MIC","Biserica de lemn ""Pogorârea Sf. Duh""",45,,,,407151,"-","Clădire de cult","Biserică",1764,"Patrimoniu religios",
1098,"CJ-II-m-B-07593","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56620,"DÂNGĂU MIC","Casă",83,,,,407151,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1889 -1900","Patrimoniu domestic rural",
1117,"CJ-II-m-B-07609","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56639,"DUMBRAVA","Biserica reformată",63,46.825702,23.217083,643,407152,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1118,"CJ-II-m-B-07610","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56639,"DUMBRAVA","Primăria veche",76,,,,407152,"-","Clădire administrativă (primărie, prefectură, guvern, minister ș.a.)",,"sec. XX","Patrimoniul administrativ",
1293,"CJ-II-m-B-07768","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56657,"STRAJA","Biserica de lemn ""Sf. Trei Ierarhi""",57,46.807305,23.293303,551,407154,"-","Clădire de cult","Biserică","sec. XVII","Patrimoniu religios",
1257,"CJ-II-m-B-07734","B",127,"CLUJ",56568,"comună","CĂPUȘU MARE",56648,"PĂNICENI","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",154,46.808603,23.190155,636,407153,"-","Clădire de cult","Biserică",1730,"Patrimoniu religios",
1079,"CJ-II-m-B-07576","B",127,"CLUJ",56666,"comună","CĂIEȘU",56693,"COPLEAN","Castelul Haller (ruine)",67,47.195594,23.825747,228,407157,"Colaps","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","sec. XVIII","Patrimoniu reprezentativ",
1080,"CJ-II-m-B-07577","B",127,"CLUJ",56666,"comună","CĂIEȘU",56693,"COPLEAN","Biserica romano - catolică",81,47.196899,23.823549,227,407157,"Stare medie","Clădire de cult","Biserică","sec. XV - XVI","Patrimoniu religios",
1130,"CJ-II-m-B-07620","B",127,"CLUJ",56666,"comună","CĂIEȘU",56719,"GÂRBĂUL DEJULUI","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",156,47.238022,23.908281,398,407159,"-","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1049,"CJ-II-m-B-07552","B",127,"CLUJ",56773,"comună","CĂTINA",56782,"CĂTINA","Biserica romano - catolică ""A tuturor sfinților""",32,46.845238,24.16191,322,407170,"-","Clădire de cult","Biserică",1796,"Patrimoniu religios",
1120,"CJ-II-m-B-07612","B",127,"CLUJ",56773,"comună","CĂTINA",56808,"FELDIOARA","Biserica reformată",105,46.884027,24.151853,343,407172,"-","Clădire de cult","Biserică","sec. XV - XVI","Patrimoniu religios",
1066,"CJ-II-m-B-07565","B",127,"CLUJ",56988,"comună","CHINTENI",56997,"CHINTENI","Biserica romano-catolică ""A Tuturor Sfinților""",65,46.860294,23.540765,475,407205,"Stare bună","Clădire de cult","Biserică",1796,"Patrimoniu religios",
1119,"CJ-II-m-B-07611","B",127,"CLUJ",56988,"comună","CHINTENI",57010,"FEIURDENI","Biserica ortodoxă",112,46.879804,23.622736,388,407207,"Stare medie","Clădire de cult","Biserică","1927 - 1928","Patrimoniu religios",
1215,"CJ-II-m-B-07700","B",127,"CLUJ",56988,"comună","CHINTENI",57029,"MĂCICAȘU","Conac",120,46.893043,23.567585,409,407208,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XVIII","Patrimoniu domestic rural",
1275,"CJ-II-m-B-07750","B",127,"CLUJ",56988,"comună","CHINTENI",57056,"SĂLIȘTEA VECHE","Biserica de lemn",,46.893493,23.466119,431,407212,"-","Clădire de cult","Biserică","1589 -1600","Patrimoniu religios",
1335,"CJ-II-m-B-07808","B",127,"CLUJ",56988,"comună","CHINTENI",57074,"VECHEA","Biserica de lemn ""Adormirea Maicii Domnului""",,46.895275,23.505857,537,407214,"Stare medie","Clădire de cult","Biserică",1726,"Patrimoniu religios",
1067,"CJ-II-m-B-07566","B",127,"CLUJ",57083,"comună","CHIUIEȘTI",57092,"CHIUIEȘTI","Biserica de lemn ""Sfânta Cruce"" a mănăstirii Strâmbu",,,,,407215,"-","Clădire de cult","Biserică","sf. sec. XVIII","Patrimoniu religios",
1294,"CJ-II-m-B-07769","B",127,"CLUJ",57083,"comună","CHIUIEȘTI",57136,"STRÂMBU","Biserica de lemn ""Sf. Apostoli Petru și Pavel""",,,,,407219,"-","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1295,"CJ-II-m-B-07770","B",127,"CLUJ",57083,"comună","CHIUIEȘTI",57136,"STRÂMBU","Biserica ""Sf. Arhangheli""",110,47.343592,23.953338,476,407219,"-","Clădire de cult","Biserică","sec. XVII","Patrimoniu religios",
1069,"CJ-II-a-A-07568","A",127,"CLUJ",57163,"comună","CIUCEA",57172,"CIUCEA","Ansamblul ""Octavian Goga""",5,46.948974,22.814451,462,407225,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX - XX","Patrimoniu reprezentativ",
1070,"CJ-II-m-A-07568.01","A",127,"CLUJ",57163,"comună","CIUCEA",57172,"CIUCEA","Conacul Octavian Goga",5,46.948974,22.814451,462,407225,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX - XX","Patrimoniu reprezentativ",
1071,"CJ-II-m-A-07568.02","A",127,"CLUJ",57163,"comună","CIUCEA",57172,"CIUCEA","Biserica ortodoxă",5,46.948222,22.815232,475,407225,"-","Clădire de cult","Biserică","sec. XIX - XX","Patrimoniu religios",
1264,"CJ-II-m-A-07690","A",127,"CLUJ",57225,"comună","CIURILA",57270,"PRUNIȘ","Castelul Veres",,46.638208,23.563963,577,407234,"Colaps","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","sec. XVIII-XIX","Patrimoniu reprezentativ","Construcția a fost clasată în mod eronat și a fost declasată ulterior. Construcția nu mai există."
1253,"CJ-II-m-B-07732","B",127,"CLUJ",57225,"comună","CIURILA",57261,"PĂDURENI","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",,46.607017,23.557607,623,407233,"Stare medie","Clădire de cult","Biserică",1750,"Patrimoniu religios","alterata prin interventii"
1273,"CJ-II-m-B-07748","B",127,"CLUJ",57225,"comună","CIURILA",57298,"SĂLIȘTE","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",3,46.65027,23.582925,661,407237,"Stare medie","Clădire de cult","Biserică",1754,"Patrimoniu religios",
1235,"CJ-II-m-B-07717","B",127,"CLUJ",57314,"comună","CÂȚCĂU",57332,"MUNCEL","Biserica de lemn ""Sf. Nicolae""",93,47.25881,23.76618,471,407181,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios","Coordonate neverificate."
1272,"CJ-II-m-B-07747","B",127,"CLUJ",57314,"comună","CÂȚCĂU",57341,"SĂLIȘCA","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil"", din Deal",171,47.222219,23.822922,278,407182,"-","Clădire de cult","Biserică",1680,"Patrimoniu religios",
1076,"CJ-II-m-B-07573","B",127,"CLUJ",57350,"comună","COJOCNA",57369,"COJOCNA","Biserica de lemn ""Intrarea în Biserică""","Str. Bisericii Ortodoxe 2",46.74784,23.825329,400,407240,"Stare medie","Clădire de cult","Biserică",1796,"Patrimoniu religios",
1077,"CJ-II-m-B-07574","B",127,"CLUJ",57350,"comună","COJOCNA",57369,"COJOCNA","Biserica reformată","Str. Republicii 116",46.749937,23.835335,325,407240,"Stare bună","Clădire de cult","Biserică","1822 - 1825","Patrimoniu religios",
1082,"CJ-II-m-B-07579","B",127,"CLUJ",57449,"comună","CORNEȘTI",57458,"CORNEȘTI","Biserica romano -catolică ""Sf. Maria Mare""",12,47.032419,23.680341,341,407250,"-","Clădire de cult","Biserică",1725,"Patrimoniu religios",
1203,"CJ-II-m-B-07691","B",127,"CLUJ",57449,"comună","CORNEȘTI",57485,"LUJERDIU","Biserica ""Sf. Arhangheli Mihail și Gavriil""",199,46.967006,23.714819,345,407253,"-","Clădire de cult","Biserică","sec. XVI","Patrimoniu religios",
1291,"CJ-II-m-B-07766","B",127,"CLUJ",57449,"comună","CORNEȘTI",57500,"STOIANA","Biserica reformată",7,47.017019,23.687364,330,407256,"-","Clădire de cult","Biserică","sec. XV","Patrimoniu religios",
1307,"CJ-II-a-B-07782","B",127,"CLUJ",57449,"comună","CORNEȘTI",57519,"TIOCU DE JOS","Ansamblul bisericii reformate",12,47.057623,23.660094,363,407257,"-","Clădire de cult","Biserică","sec. XIV-XVIII","Patrimoniu religios",
1308,"CJ-II-m-B-07782.01","B",127,"CLUJ",57449,"comună","CORNEȘTI",57519,"TIOCU DE JOS","Biserica reformată",12,47.057623,23.660094,363,407257,"-","Clădire de cult","Biserică","sec. XIV","Patrimoniu religios",
1309,"CJ-II-m-B-07782.02","B",127,"CLUJ",57449,"comună","CORNEȘTI",57519,"TIOCU DE JOS","Clopotnița bisericii reformate",12,47.057633,23.659942,363,407257,"-","Clădire de cult","Turn-clopotniță","sec. XVIII-XIX","Patrimoniu religios",
1310,"CJ-II-m-B-07783","B",127,"CLUJ",57449,"comună","CORNEȘTI",57528,"TIOCU DE SUS","Biserica reformată",71,47.077316,23.64661,400,407258,"Stare medie","Clădire de cult","Biserică","sec. XIII -XV","Patrimoniu religios",
1311,"CJ-II-m-B-07784","B",127,"CLUJ",57449,"comună","CORNEȘTI",57537,"TIOLTIUR","Biserica ortodoxă","134A",47.014017,23.717932,358,407259,"-","Clădire de cult","Biserică","sec. XVI-XVIII","Patrimoniu religios",
1312,"CJ-II-m-B-07785","B",127,"CLUJ",57449,"comună","CORNEȘTI",57537,"TIOLTIUR","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",145,47.011885,23.71512,370,407259,"-","Clădire de cult","Biserică",1800,"Patrimoniu religios",
1093,"CJ-II-m-B-07588","B",127,"CLUJ",57546,"comună","DĂBÂCA",57555,"DĂBÂCA","Conacul Rhedey",158,46.972941,23.677646,322,407265,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XVIII","Patrimoniu domestic rural",
1094,"CJ-II-m-B-07589","B",127,"CLUJ",57546,"comună","DĂBÂCA",57555,"DĂBÂCA","Biserica reformată",312,46.970789,23.673393,325,407265,"-","Clădire de cult","Biserică",1743,"Patrimoniu religios",
1204,"CJ-II-a-B-07692","B",127,"CLUJ",57546,"comună","DĂBÂCA",57564,"LUNA DE JOS","Ansamblul castelului Teleki",17,46.937641,23.746273,288,407266,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","sec. XVIII","Patrimoniu reprezentativ",
1205,"CJ-II-m-B-07692.01","B",127,"CLUJ",57546,"comună","DĂBÂCA",57564,"LUNA DE JOS","Castel, azi Sanatoriul TBC",17,46.937641,23.746273,288,407266,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","sec. XVIII","Patrimoniu reprezentativ","Nu este accesibil pentru vizitare."
1206,"CJ-II-m-B-07692.02","B",127,"CLUJ",57546,"comună","DĂBÂCA",57564,"LUNA DE JOS","Turnul de vânătoare",17,46.937333,23.744033,288,407266,"Pre-colaps","Clădire pentru sport","Turn","sec. XVIII","Patrimoniu reprezentativ",
1208,"CJ-II-m-B-07693","B",127,"CLUJ",57546,"comună","DĂBÂCA",57564,"LUNA DE JOS","Biserica reformată",19,46.937013,23.748055,290,407266,"Stare medie","Clădire de cult","Biserică",1727,"Patrimoniu religios",
1207,"CJ-II-s-B-07692.03","B",127,"CLUJ",57546,"comună","DĂBÂCA",57564,"LUNA DE JOS","Parcul",17,46.937648,23.745155,287,407266,"Stare medie","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,"sec. XIX","Patrimoniu reprezentativ",
1121,"CJ-II-m-A-07613","A",127,"CLUJ",57582,"comună","FELEACU",57591,"FELEACU","Biserica ""Cuvioasa Paraschiva"" a Episcopiei Feleacului și Vadului",475,46.716929,23.618232,698,407270,"-","Clădire de cult","Biserică",1486,"Patrimoniu religios",
1132,"CJ-II-m-B-07622","B",127,"CLUJ",57582,"comună","FELEACU",57617,"GHEORGHIENI","Biserica romano -catolică",280,46.710894,23.693213,580,407272,"-","Clădire de cult","Biserică","sec. XV","Patrimoniu religios",
1241,"CJ-II-m-A-07722","A",127,"CLUJ",57644,"comună","FIZEȘU GHERLII",57680,"NICULA","Biserica de lemn ""Adormirea Maicii Domnului""",253,47.001898,23.956405,428,407278,"Stare bună","Clădire de cult","Biserică",1650,"Patrimoniu religios",
1125,"CJ-II-m-B-07615","B",127,"CLUJ",57644,"comună","FIZEȘU GHERLII",57653,"FIZEȘU GHERLII","Biserica reformată",315,47.025438,23.987995,268,407275,"Stare medie","Clădire de cult","Biserică","sec. XVII","Patrimoniu religios",
1126,"CJ-II-m-B-07616","B",127,"CLUJ",57706,"comună","FLOREȘTI",57715,"FLOREȘTI","Biserica romano - catolică","Str. Iancu Avram 217",46.744878,23.487272,370,407280,"Stare bună","Clădire de cult","Biserică","sec. XIV - XV","Patrimoniu religios",
1209,"CJ-II-m-B-07694","B",127,"CLUJ",57706,"comună","FLOREȘTI",57724,"LUNA DE SUS","Biserica reformată",219,46.742683,23.431566,394,407281,"Stare medie","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1303,"CJ-II-m-B-07778","B",127,"CLUJ",57706,"comună","FLOREȘTI",57733,"TăUȚI","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",47,46.711266,23.505272,446,407282,"-","Clădire de cult","Biserică","sec. XIX","Patrimoniu religios",
1127,"CJ-II-m-B-07617","B",127,"CLUJ",57742,"comună","FRATA",57751,"FRATA","Biserica de lemn ""Pogorârea Sf. Duh""",403,46.700353,24.060828,384,407285,"-","Clădire de cult","Biserică",1827,"Patrimoniu religios",
1019,"CJ-II-m-B-07529","B",127,"CLUJ",57742,"comună","FRATA",57760,"BERCHIEȘU","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",54,46.727362,24.037857,350,407286,"-","Clădire de cult","Biserică",1747,"Patrimoniu religios",
1131,"CJ-II-m-B-07621","B",127,"CLUJ",57831,"comună","GEACA",57840,"GEACA","Castelul Beldi",364,46.858456,24.089637,306,407300,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","sec. XIX","Patrimoniu reprezentativ",
1200,"CJ-II-m-B-07687","B",127,"CLUJ",57831,"comună","GEACA",57868,"LACU","Biserica de lemn ""Cuvioasa Paraschiva""",68,46.881771,24.108141,334,407302,"-","Clădire de cult","Biserică",1771,"Patrimoniu religios",
1201,"CJ-II-m-B-07688","B",127,"CLUJ",57831,"comună","GEACA",57877,"LEGII","Biserica reformată",83,46.855367,24.048311,317,407303,"-","Clădire de cult","Biserică",1849,"Patrimoniu religios",
1184,"CJ-II-a-B-07673","B",127,"CLUJ",57902,"comună","GILĂU",57911,"GILĂU","Castelul Wass -Banffy","Str. Principală",46.756688,23.382424,427,407310,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Castel","sec. XV - XIX","Patrimoniu reprezentativ","Nu este accesibil pentru vizitare."
1183,"CJ-II-m-B-07672","B",127,"CLUJ",57902,"comună","GILĂU",57911,"GILĂU","Conacul Gallus","Str. Principală",46.756842,23.385244,410,407310,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu reprezentativ","Proprietate privată."
1185,"CJ-II-m-B-07673.01","B",127,"CLUJ",57902,"comună","GILĂU",57911,"GILĂU","Castelul Wass -Banffy, azi Liceul Gilău","Str. Principală",46.756688,23.382424,427,407310,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XV","Patrimoniu reprezentativ",
1186,"CJ-II-m-B-07673.02","B",127,"CLUJ",57902,"comună","GILĂU",57911,"GILĂU","Conac, azi internatul Liceului Gilău","Str. Principală",46.75564,23.385061,406,407310,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu reprezentativ",
1187,"CJ-II-m-B-07673.03","B",127,"CLUJ",57902,"comună","GILĂU",57911,"GILĂU","Șură","Str. Principală",46.757352,23.382179,426,407310,"-","Clădire cu alte funcțiuni",,"sec. XVIII","Patrimoniul preindustrial prelucrător","Posibilă eroare de cod LMI la identificare."
1188,"CJ-II-m-B-07673.04","B",127,"CLUJ",57902,"comună","GILĂU",57911,"GILĂU","Șură","Str. Principală",46.758145,23.383072,412,407310,"Stare medie","Clădire cu alte funcțiuni",,"sec. XIX","Patrimoniul preindustrial prelucrător","Posibilă eroare de cod LMI la identificare."
1189,"CJ-II-s-B-07673.05","B",127,"CLUJ",57902,"comună","GILĂU",57911,"GILĂU","Parcul castelului","Str. Principală",46.756689,23.380412,431,407310,"Stare medie","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,"sec. XIX","Patrimoniu reprezentativ","Nu este accesibil pentru vizitare."
1289,"CJ-II-m-B-07764","B",127,"CLUJ",57902,"comună","GILĂU",57939,"SOMEȘU RECE","Biserica de lemn ""Pogorârea Sf. Duh""",71,,,,407312,"-","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1128,"CJ-II-m-B-07618","B",127,"CLUJ",57948,"comună","GÂRBĂU",57957,"GÂRBĂU","Biserica de lemn Gârbău",173,46.831281,23.351704,421,407295,"-","Clădire de cult","Biserică","sec. XIX","Patrimoniu religios",
1129,"CJ-II-m-B-07619","B",127,"CLUJ",57948,"comună","GÂRBĂU",57957,"GÂRBĂU","Conacul Laszay",178,46.831612,23.35368,418,407295,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu domestic rural",
1238,"CJ-II-m-B-07719","B",127,"CLUJ",57948,"comună","GÂRBĂU",57975,"NĂDĂȘELU","Conacul Lazsay-Filip",62,46.828016,23.412897,395,407297,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XVIII-XIX","Patrimoniu domestic rural",
1338,"CJ-II-a-B-07811","B",127,"CLUJ",57948,"comună","GÂRBĂU",57984,"VIȘTEA","Ansamblul bisericii reformate",179,46.801703,23.400614,421,407299,"-","Clădire de cult","Biserică","sec. XVI","Patrimoniu religios",
1339,"CJ-II-m-B-07811.01","B",127,"CLUJ",57948,"comună","GÂRBĂU",57984,"VIȘTEA","Biserica reformată",179,46.801703,23.400614,421,407299,"-","Clădire de cult","Biserică","sec. XVI","Patrimoniu religios",
1340,"CJ-II-m-B-07811.02","B",127,"CLUJ",57948,"comună","GÂRBĂU",57984,"VIȘTEA","Clopotnița bisericii reformate",179,46.801566,23.400523,423,407299,"-","Clădire de cult","Turn-clopotniță","sec. XIX","Patrimoniu religios",
1329,"CJ-II-m-B-07802","B",127,"CLUJ",57948,"comună","GÂRBĂU",57993,"TUREA","Conacul Banffy",14,46.84949,23.352337,422,407298,"-","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XVII","Patrimoniu domestic rural",
1193,"CJ-II-m-B-07680","B",127,"CLUJ",58008,"comună","IARA",58017,"IARA","Conacul Teleki",,46.55541,23.515699,463,407315,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu reprezentativ","locuinta -proprietate privata. Puternic alterat."
1194,"CJ-II-m-B-07681","B",127,"CLUJ",58008,"comună","IARA",58017,"IARA","Conacul Beldi",,46.555168,23.51663,462,407315,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu reprezentativ","locuinta -proprietate privata"
1195,"CJ-II-m-B-07682","B",127,"CLUJ",58008,"comună","IARA",58017,"IARA","Conacul Kémény",,46.554105,23.5168,460,407315,"Stare medie","Clădire de locuit (unifamilială, colectivă ș.a.)","Conac","sec. XIX","Patrimoniu reprezentativ","locuinta - proprietate privata"
1196,"CJ-II-m-B-07683","B",127,"CLUJ",58008,"comună","IARA",58017,"IARA","Biserica unitariană","Str. Libertății 394",46.555439,23.514345,464,407315,"Stare medie","Clădire de cult","Biserică","sec. XIII -XV, ref.sec. XVIII","Patrimoniu religios",
1036,"CJ-II-m-B-07537","B",127,"CLUJ",58008,"comună","IARA",58035,"BORZEȘTI","Biserica ""Sf. Arhangheli Mihail și Gavriil""",116,46.539403,23.61167,621,407317,"-","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
700,"CJ-II-a-B-21097.08","B",127,"CLUJ",58008,"comună","IARA",58044,"BURU","Buru gară",,46.508671,23.602485,370,407318,"Stare bună","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor","locuinta -proprietate privata"
701,"CJ-II-a-B-21097.09","B",127,"CLUJ",58008,"comună","IARA",58044,"BURU","Buru canton",,46.508656,23.591369,384,407318,"Stare medie","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor",
702,"CJ-II-a-B-21097.10","B",127,"CLUJ",58008,"comună","IARA",58071,"LUNGEȘTI","Lungești canton",,,,,407322,"-","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor",
1216,"CJ-II-m-B-07701","B",127,"CLUJ",58008,"comună","IARA",58099,"MăGURA IERII","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",41,46.541697,23.584408,545,407324,"-","Clădire de cult","Biserică",1783,"Patrimoniu religios",
703,"CJ-II-a-B-21097.11","B",127,"CLUJ",58008,"comună","IARA",58106,"OCOLIȘEL","Ocolișel haltă",,,,,407326,"-","Clădire pentru transport (gară, autogară ș.a.)",,,"Patrimoniul transporturilor",
704,"CJ-II-a-B-21097.12","B",127,"CLUJ",58008,"comună","IARA",58106,"OCOLIȘEL","Tunel",,,,,407326,"-",,,,"Patrimoniul transporturilor",
1247,"CJ-II-m-B-07728","B",127,"CLUJ",58008,"comună","IARA",58106,"OCOLIȘEL","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",85,46.516581,23.482029,499,407326,"-","Clădire de cult","Biserică",1852,"Patrimoniu religios",
1299,"CJ-II-m-B-07774","B",127,"CLUJ",58008,"comună","IARA",58115,"SURDUC","Biserica de lemn ""Sf. Arhangheli Mihail și Gavriil""",35,46.540257,23.549459,442,407327,"Pre-colaps","Clădire de cult","Biserică","sec. XVIII","Patrimoniu religios",
1197,"CJ-II-m-B-07684","B",127,"CLUJ",58142,"comună","ICLOD",58151,"ICLOD","Biserica ""înălțarea Domnului""",388,46.979812,23.808364,267,407335,"Stare medie","Clădire de cult","Biserică",1791,"Patrimoniu religios",
1248,"CJ-II-a-B-07729","B",127,"CLUJ",58142,"comună","ICLOD",58197,"ORMÁN","Ansamblul bisericii reformate",164,47.046886,23.816831,322,407339,"-","Clădire de cult","Biserică","sec. XIII -XV","Patrimoniu religios",
1249,"CJ-II-m-B-07729.01","B",127,"CLUJ",58142,"comună","ICLOD",58197,"ORMÁN","Biserica reformată",164,47.046886,23.816831,322,407339,"-","Clădire de cult","Biserică","sec. XIII -XV","Patrimoniu religios",
1250,"CJ-II-m-B-07729.02","B",127,"CLUJ",58142,"comună","ICLOD",58197,"ORMÁN","Clopotnița bisericii reformate",164,47.046886,23.816831,322,407339,"-","Clădire de cult","Turn-clopotniță","sec. XVIII-XIX","Patrimoniu religios",
1198,"CJ-II-m-B-07685","B",127,"CLUJ",58204,"comună","IZVORU CRIȘULUI",58213,"IZVORU CRIȘULUI","Biserica reformată",285,46.838475,23.107046,597,407340,"Stare medie","Clădire de cult","Biserică","sec. XVII","Patrimoniu religios",
1237,"CJ-II-m-B-07718","B",127,"CLUJ",58204,"comună","IZVORU CRIȘULUI",58222,"NADăȘU","Biserica de lemn ""Sf. Arhangheli""",14,46.855611,23.149513,538,407341,"-","Clădire de cult","Biserică","1720- 1730","Patrimoniu religios",
1199,"CJ-II-m-B-07686","B",127,"CLUJ",58259,"comună","JUCU",58268,"JUCU DE SUS","Castel, azi școală generală","463-464",46.860679,23.791457,303,407354,"Stare medie","Clădire de locuit (unifamilială, co","Castel","sec. XIX","Patrimoniu reprezentativ",
